station_name,state,latitude,longitude,avg,avg_2,avg_3
Little Warm WY US,WY,43.5,-109.75,25.98044693,48.32681564,36.67039106
Mosby Mtn. UT US,UT,40.61,-109.89,26.76190476,50.00280112,37.18487395
SPINCICH LAKE MICHIGAN MI US,MI,46.4578,-85.6272,27.68994413,50.38547486,39.79329609
Magic Mountain ID US,ID,42.18,-114.29,32.97765363,55.68435754,42.52513966
Lakefork NUMBER 3 UT US,UT,40.55,-110.35,31.60451977,53.12146893,41.6920904
Independence Creek CA US,CA,39.49,-120.28,30.55027933,59.04469274,44.11173184
SKULL GULCH IDAHO ID US,ID,45.3367,-114.4681,36.87709497,56.23463687,45.79050279
PARKER MOUNTAIN OREGON OR US,OR,42.1058,-122.2781,41.89106145,59.90223464,49.95251397
Bettles Field AK US,AK,66.92,-151.53,13.86728395,34.34259259,24.50617284
BOONVILLE CALIFORNIA CA US,CA,38.9875,-123.3486,46.84078212,73.03631285,57.96089385
Stump Lakes CO US,CO,37.48,-107.63,28.43854749,46.12849162,36.31843575
FORT VALLEY VIRGINIA VA US,VA,38.8333,-78.4,41.62849162,66.95530726,53.84078212
JFK INTERNATIONAL AIRPORT NY US,NY,40.63861,-73.76222,48.5,63.61173184,55.83240223
ROUND MOUNTAIN OREGON OR US,OR,43.7639,-121.7167,37.56424581,55.34636872,45.40502793
Trinity WA US,WA,48.07,-120.85,37.43296089,57.97206704,46
Beartooth Lake WY US,WY,44.94,-109.57,24.47765363,44.88826816,34.20111732
Elliot Ridge CO US,CO,39.86,-106.42,28.415,45.85,36.445
GREENS CROSS NORTH CAROLINA NC US,NC,36.0175,-76.8917,51.39664804,75.18715084,62.59497207
CLAYTON MUNICIPAL AIR PARK NM US,NM,36.4486,-103.1539,42.40502793,68.58938547,54.82402235
Bone Springs Div WY US,WY,44.68,-107.58,27.31564246,44.96089385,35.43854749
TOKETEE OREGON OR US,OR,43.2397,-122.4,37.79888268,64.22905028,49.51117318
FRENCH CREEK MONTANA MT US,MT,45.33,-112.9128,30.91525424,51.75423729,41.02824859
WILLOW CREEK COLORADO CO US,CO,40.3517,-106.2153,30.25862069,49.48563218,39.01724138
WICHITA OKLAHOMA OK US,OK,34.7744,-98.7458,51.75698324,71.43296089,61.15083799
EAGLE PEAK CALIFORNIA CA US,CA,39.9278,-122.6569,52.46927374,66.89106145,59.06703911
ARAGONITE UTAH UT US,UT,40.5983,-113.0217,45.06424581,64.25977654,54.62849162
JULIAN CALIFORNIA CA US,CA,33.0758,-116.5908,49.09217877,68.44692737,58.18156425
HARRISON BOONE CO AIRPORT AR US,AR,36.2668,-93.1566,48.10614525,68.81564246,58.0726257
ROSEBUD UTAH UT US,UT,41.6097,-113.5906,38.96089385,62.96927374,51.01117318
Lost Horse WA US,WA,46.36,-121.08,38.18156425,52.65642458,44.70111732
ONION MOUNTAIN LOOKOUT OREGON OR US,OR,42.4544,-123.615,43.52173913,59.08695652,50.41449275
Onion Park MT US,MT,46.91,-110.85,28.99441341,48.26536313,37.46089385
WASCO BUTTE OREGON OR US,OR,45.61,-121.33,43.66759777,60.45251397,51.34636872
